Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,Samsung,M3 Portable 2TB,69,33.4,4431,https://usb.userbenchmark.com/SpeedTest/5483/Samsung-M3-Portable
USB,,TOSHIBA,TransMemory-Ex2 32GB,70,33.3,36,https://usb.userbenchmark.com/SpeedTest/10053/TOSHIBA-TransMemory-Ex2
USB,,HGST,HTS 545050A7E680 500GB,71,33.2,36,https://usb.userbenchmark.com/SpeedTest/10410/HGST-HTS-545050A7E680
USB,SDCZ73-256G-G46,SanDisk,Ultra Flair USB 3.0 256GB,72,33.2,63,https://usb.userbenchmark.com/SpeedTest/405096/SanDisk-Ultra-USB-30
USB,,WD,My Passport 07AE 500GB,73,32.8,49,https://usb.userbenchmark.com/SpeedTest/9818/WD-My-Passport-07AE
USB,,WD,My Book 1140 2TB,74,32.6,9026,https://usb.userbenchmark.com/SpeedTest/1552/WD-My-Book-1140
USB,,ST1500DL,003-9VT16L 1.5TB,75,32.4,171,https://usb.userbenchmark.com/SpeedTest/4549/ST1500DL-003-9VT16L
USB,CMFVYGT3A-64GB,Corsair,Flash Voyager GT USB 3.0 64GB,76,32.1,334,https://usb.userbenchmark.com/Corsair-Flash-Voyager-GT-USB-30-64GB/Rating/1567
USB,,WD,My Book 1170 2TB,77,32,462,https://usb.userbenchmark.com/SpeedTest/4578/WD-My-Book-1170
USB,CMFVYGT3A-32GB,Corsair,Flash Voyager GT USB 3.0 32GB,78,31.9,641,https://usb.userbenchmark.com/Corsair-Flash-Voyager-GT-USB-30-32GB/Rating/1570
USB,,WD,My Book 1130 3TB,79,31.7,676,https://usb.userbenchmark.com/SpeedTest/4861/WD-My-Book-1130
USB,,ST1000LM,024 HN-M101MBB 1TB,80,31.7,49,https://usb.userbenchmark.com/SpeedTest/1653/ST1000LM-024-HN-M101MBB
USB,,Seagate,Backup+ BK 2TB,81,31.7,79,https://usb.userbenchmark.com/SpeedTest/5646/Seagate-Backup---BK
USB,,Sview,SV-WiFi-S250UN 1TB,82,31.6,14,https://usb.userbenchmark.com/SpeedTest/12439/Sview-SV-WiFi-S250UN
USB,,WD,My Passport 07A8 1TB,83,31.2,5074,https://usb.userbenchmark.com/SpeedTest/2838/WD-My-Passport-07A8
USB,,ST320005,42AS 2TB,84,31.2,48,https://usb.userbenchmark.com/SpeedTest/11690/ST320005-42AS
USB,,Seagate,FA GoFlex Desk 2TB,85,31.2,1896,https://usb.userbenchmark.com/SpeedTest/1236/Seagate-FA-GoFlex-Desk
USB,,PNY,USB 3.0 FD 128GB,86,31.2,694,https://usb.userbenchmark.com/SpeedTest/5535/PNY-USB-30-FD
USB,,Seagate,External 2TB,87,30.9,637,https://usb.userbenchmark.com/SpeedTest/2144/Seagate-External
USB,,Seagate,External 1TB,88,30.8,178,https://usb.userbenchmark.com/SpeedTest/9293/Seagate-External
USB,,WD,My Passport 0810 500GB,89,30.7,989,https://usb.userbenchmark.com/SpeedTest/6985/WD-My-Passport-0810
USB,,Intenso,USB 3.0 Device 1TB,90,30.5,1381,https://usb.userbenchmark.com/SpeedTest/12049/Intenso-USB-30-Device
USB,,WD,My Passport 1.5TB,91,30.5,654,https://usb.userbenchmark.com/SpeedTest/4563/WD-My-Passport-0748
USB,,WD,My Passport 0830 1TB,92,30.3,6528,https://usb.userbenchmark.com/SpeedTest/9130/WD-My-Passport-0830
USB,,WD,My Book 1130 2TB,93,30.3,1552,https://usb.userbenchmark.com/SpeedTest/2726/WD-My-Book-1130
USB,,WD,My Passport 0810 1TB,94,30.2,4180,https://usb.userbenchmark.com/SpeedTest/3372/WD-My-Passport-0810
USB,,WD,My Passport 0741 1TB,95,30.2,1686,https://usb.userbenchmark.com/SpeedTest/4935/WD-My-Passport-0741
USB,,WD,My Passport 0820 2TB,96,30,14204,https://usb.userbenchmark.com/SpeedTest/2353/WD-My-Passport-0820
